Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains
26-11-21,Tarsons Product,1030.22,1.06,3.40,2.49,662.00,700.00,840.00,26.89,641.45,-3.10
23-11-21,Latent View,622.11,145.48,850.66,119.44,197.00,530.00,488.60,148.02,639.85,224.80
18-11-21,Sapphire Foods,2073,3.11,2.34,5.25,1180.00,1311.00,1216.05,3.06,"1,048.05",-11.18
18-11-21,One 97(Paytm),18915.9,2.79,0.24,1.66,2150.00,1955.00,1564.15,-27.25,"1,655.00",-23.02
15-11-21,SJS Enterprises,816.57,1.42,2.32,1.38,542.00,514.00,509.85,-5.93,441.05,-18.63
15-11-21,PB Fintech,6273.5,9.83,2.58,1.67,980.00,1444.00,1202.90,22.74,"1,210.50",23.52
15-11-21,Sigachi Ind,0,42.15,78.82,41.26,163.00,575.00,603.75,270.4,429.35,163.40
12-11-21,Fino Payments,1209,1.65,0.21,5.92,577.00,548.00,545.25,-5.5,409.90,-28.96
10-11-21,FSN E-Co(Nykaa),5375,91.18,112.02,12.24,1125.00,2001.00,2206.70,96.15,"2,252.00",100.18
11-10-21,ABSL AMC,2768,4.10,2.60,1.68,712.00,697.50,699.65,-1.73,585.45,-17.77
01-10-21,Paras Defence,181.13,90.48,435.14,61.42,175.00,475.00,498.75,185,749.95,328.54
24-09-21,Sansera Eng,1282,26.47,11.37,3.15,744.00,845.05,818.70,10.04,769.80,3.47
14-09-21,AMI Organics,571.96,86.64,154.81,13.36,610.00,902.00,934.55,53.2,"1,008.00",65.25
14-09-21,Vijaya Diagnost,1895.04,13.07,1.32,1.09,531.00,542.30,619.30,16.63,585.20,10.21
06-09-21,APTUS VALUE,2790,32.41,33.91,1.35,353.00,360.00,374.05,5.96,315.55,-10.61
24-08-21,CHEMPLAST SANMA,3929.91,2.70,1.03,2.29,541.00,570.00,534.90,-1.13,585.25,8.18
23-08-21,Nuvoco Vistas,5089.29,0.10,0.02,0.24,570.00,471.00,531.30,-6.79,518.00,-9.12
20-08-21,CarTrade Tech,2998,0.55,0.09,0.81,1618.00,1600.00,1500.10,-7.29,911.35,-43.67
16-08-21,Windlas Biotech,405.95,24.40,15.73,24.27,460.00,439.00,406.70,-11.59,281.85,-38.73
16-08-21,Krsnaa Diagnost,1222,49.83,116.30,42.04,954.00,1025.00,990.75,3.85,731.55,-23.32
16-08-21,Devyani Int,1858,95.27,213.06,39.52,90.00,141.00,123.35,37.06,150.20,66.89
16-08-21,Exxaro Tiles,161.09,17.67,5.36,40.10,120.00,126.00,132.25,10.21,147.75,23.13
09-08-21,Rolex Rings,732.27,143.58,360.11,24.49,900.00,1249.00,1166.55,29.62,"1,153.00",28.11
06-08-21,Glenmark Life,1513,0.98,0.87,4.61,720.00,752.00,748.20,3.92,607.00,-15.69
29-07-21,Tatva Chintan,500,2.55,9.78,13.36,1083.00,2111.80,2310.25,113.32,"2,609.10",140.91
23-07-21,Zomato,9375,51.79,32.96,7.45,76.00,115.00,125.85,65.59,142.00,86.84
19-07-21,G R Infra,963.28,93.18,73.01,4.89,837.00,1700.00,1746.80,108.7,"1,800.00",115.05
19-07-21,Clean Science,1546,156.37,206.43,9.00,900.00,1784.40,1585.20,76.13,"2,620.30",191.14
07-07-21,India Pesticide,800,2.64,1.36,4.40,296.00,360.00,335.45,13.33,300.65,1.57
05-07-21,Krishna Inst.,2146,5.26,1.89,2.90,825.00,1009.00,1096.80,32.95,"1,391.10",68.62
28-06-21,Dodla Dairy,521,84.88,73.26,11.34,428.00,550.00,609.10,42.31,567.60,32.62
24-06-21,Sona BLW,5550,1.57,0.22,0.66,291.00,302.40,362.85,24.69,762.95,162.18
24-06-21,Shyam Metalics,909,62.18,172.51,5.29,306.00,380.00,375.85,22.83,312.30,2.06
14-05-21,PowerGrid InvIT,7734.99,0.00,0.00,0.00,100.00,104.00,102.98,2.98,120.05,20.05
19-04-21,Macrotech Dev,2500,3.05,1.44,0.40,486.00,439.00,463.15,-4.7,"1,434.05",195.07
07-04-21,Barbeque Nat,453.6,0.00,0.00,0.00,500.00,492.00,590.40,18.08,"1,489.25",197.85
30-03-21,Nazara,582.91,52.82,148.42,34.49,1101.00,1971.00,1576.80,43.22,"2,339.00",112.44
26-03-21,Suryoday Small,582.34,2.18,1.31,3.09,305.00,274.75,276.20,-9.44,149.75,-50.90
26-03-21,Kalyan Jeweller,1175,1.18,0.97,1.47,87.00,73.90,75.30,-13.45,69.80,-19.77
25-03-21,Craftsman,823.7,0.56,0.05,1.04,1490.00,1440.00,1433.00,-3.83,"2,289.70",53.67
25-03-21,Laxmi Organic,600,1.13,0.73,4.41,130.00,173.00,164.60,26.62,430.50,231.15
24-03-21,Anupam Rasayan,760,30.80,62.06,4.62,555.00,534.70,525.90,-5.24,791.25,42.57
19-03-21,Easy Trip,510,0.00,2.79,14.48,187.00,182.00,208.30,11.39,502.00,168.45
15-03-21,MTAR Tech,596.41,52.01,522.35,12.78,575.00,990.05,1082.25,88.22,"2,320.00",303.48
05-03-21,Heranba,60,25.98,108.72,4.82,627.00,900.00,812.25,29.55,685.00,9.25
26-02-21,Railtel,819.24,22.03,51.40,7.08,94.00,109.00,121.40,29.15,118.75,26.33
25-02-21,Nureca,100,0.24,17.10,74.29,400.00,634.95,666.65,66.66,"1,531.25",282.81
05-02-21,Stove Kraft,412.63,8.02,32.72,26.04,385.00,498.00,445.95,15.83,950.70,146.94
03-02-21,Home First,1153.72,52.53,39.00,6.59,518.00,612.15,527.40,1.81,850.00,64.09
02-02-21,Indigo Paints,1170.56,96.21,115.76,6.50,1490.00,2607.50,3118.65,109.31,"2,190.75",47.03
29-01-21,IRFC,4633,0.89,0.52,1.59,26.00,25.00,24.85,-4.42,23.35,-10.19
01-01-21,Antony Waste,300.53,0.64,0.28,7.22,315.00,430.00,407.25,29.29,285.65,-9.32
24-12-20,Bectors Food,540.54,176.85,620.86,29.33,288.00,501.00,595.55,106.79,390.15,35.47
14-12-20,Burger King,796.5,86.64,354.11,68.15,60.00,115.35,138.40,130.67,149.65,149.42
20-11-20,Gland,6479.55,6.40,0.51,0.24,1500.00,1710.00,1820.45,21.36,"3,600.95",140.06
02-11-20,Equitas Bank,517.6,3.91,0.22,2.08,33.00,31.00,32.75,-0.76,61.35,85.91
12-10-20,Mazagon Dock,443.69,89.71,678.88,35.63,145.00,216.25,173.00,19.31,266.10,83.52
12-10-20,UTI AMC,2159.88,3.34,0.93,2.32,554.00,476.20,476.60,-13.97,"1,033.20",86.50
05-10-20,Angel One,600,5.74,0.69,4.31,306.00,275.00,275.85,-9.85,"1,131.10",269.64
01-10-20,Chemcon Special,318,113.54,449.14,41.21,340.00,731.00,584.80,72,365.65,7.54
01-10-20,CAMS,2244.33,73.18,111.85,5.55,1230.00,1535.00,1401.60,13.95,"2,945.90",139.50
21-09-20,Route,600,89.76,192.81,12.67,350.00,708.00,651.10,86.03,"1,767.95",405.13
17-09-20,Happiest Minds ,702.02,77.43,351.46,70.94,166.00,351.00,371.00,123.49,"1,342.40",708.67
23-07-20,Rossari,496.25,2.75,4.34,2.51,425.00,670.00,742.35,74.67,"1,302.00",206.35
16-03-20,SBI Card,10286.2,57.18,45.23,2.50,755.00,658.00,683.20,-9.51,986.65,30.68
30-12-19,Prince Pipes,500,3.54,1.21,1.89,178.00,160.00,166.60,-6.4,742.15,316.94
12-12-19,Ujjivan Small,750,110.72,473.00,49.09,37.00,58.75,55.90,51.08,19.40,-47.57
04-12-19,CSB Bank,409.68,38.85,45.49,9.01,195.00,275.00,300.10,53.9,267.00,36.92
14-10-19,IRCTC,635.04,108.79,354.52,14.94,320.00,644.00,145.72,-54.46,811.00,153.44
20-08-19,Sterling & Wils,3125,1.02,0.89,0.30,780.00,700.00,725.35,-7.01,396.15,-49.21
04-07-19,Indiamart Inter,474.12,30.83,62.13,14.07,973.00,1180.00,1302.55,33.87,"7,098.30",629.53
08-05-19,Neogen,131.48,30.49,113.88,16.06,0.00,251.00,263.55,0,"1,707.85",
15-04-19,Metropolis,1200.18,8.88,3.03,2.21,880.00,960.00,959.55,9.04,"3,350.45",280.73
11-04-19,Rail Vikas,430.88,1.36,0.80,2.92,19.00,19.00,19.05,0.26,34.80,83.16
01-04-19,Embassy Office,4750,2.15,3.09,0.31,300.00,300.00,314.10,4.7,361.60,20.53
29-03-19,MSTC,213.81,1.13,2.15,2.95,128.00,111.00,114.20,-10.78,344.75,169.34
07-02-19,Chalet Hotels,1628.84,4.66,1.10,0.03,280.00,291.00,290.40,3.71,228.40,-18.43
04-02-19,Xelpmoc Design ,23,1.24,7.69,2.64,66.00,56.00,58.80,-10.91,385.75,484.47
08-10-18,AAVAS Financier,1729.2,2.77,0.26,0.25,821.00,758.00,773.15,-5.83,"2,676.10",225.96
23-08-18,CreditAccess Gr,1126.44,5.52,0.98,0.88,422.00,393.00,420.80,-0.28,513.85,21.77
30-07-18,TCNS Clothing C,1121.98,13.47,5.08,0.67,716.00,715.00,657.80,-8.13,800.50,11.80
02-07-18,RITES,453.6,71.72,194.56,15.74,185.00,190.00,170.16,-8.02,272.60,47.35
02-07-18,Fine Organics,597.87,12.86,21.01,1.62,783.00,815.00,822.80,5.08,"3,687.65",370.96
21-05-18,Indostar Capita,1844,16.08,6.91,1.48,572.00,600.60,585.50,2.36,250.20,-56.26
05-04-18,ICICI Securitie,4016,0.54,0.05,0.39,520.00,435.00,444.90,-14.44,766.30,47.37
04-04-18,Mishra Dhatu Ni,438.38,1.96,0.12,0.72,0.00,93.10,90.00,0,184.55,
28-03-18,Hindustan Aeron,4229,1.73,0.03,0.39,1215.00,1159.00,1128.35,-7.13,"1,309.50",7.78
27-03-18,Bandhan Bank,4473,38.67,13.89,1.20,375.00,485.00,477.20,27.25,274.85,-26.71
23-03-18,Bharat Dynamics,960.94,1.50,0.50,1.41,428.00,360.00,390.70,-8.71,413.10,-3.48
09-03-18,HG Infra Engg,457.7,8.37,4.97,3.08,270.00,270.00,270.05,0.02,617.45,128.69
26-02-18,Aster DM Health,980.14,2.10,0.55,1.18,190.00,182.00,179.85,-5.34,192.75,1.45
08-02-18,Galaxy Surfacta,937.09,54.67,6.96,6.00,1480.00,1525.00,1698.10,14.74,"2,822.45",90.71
30-01-18,Amber Enterpris,600,174.99,519.26,11.65,859.00,1175.00,1237.25,44.03,"3,215.95",274.38
29-01-18,Newgen Software,424.62,15.62,5.52,5.18,245.00,256.00,253.00,3.27,570.05,132.67
22-01-18,Apollo Micro Sy,156,101.93,958.07,40.19,275.00,478.00,454.10,65.13,111.10,-59.60
29-12-17,Astron Paper & ,70,103.35,396.99,77.93,50.00,120.75,119.70,139.4,49.75,-0.50
18-12-17,Future Supply,649.69,12.36,11.15,3.28,664.00,674.00,685.80,3.28,70.10,-89.44
15-12-17,Shalby ,504.8,4.34,0.42,2.98,248.00,237.00,239.25,-3.53,138.90,-43.99
17-11-17,HDFC Life,8695.01,16.60,2.29,0.90,290.00,313.00,344.25,18.71,688.85,137.53
14-11-17,Khadim India,493.06,2.45,0.18,2.34,750.00,727.00,688.50,-8.2,253.45,-66.21
10-11-17,Mahindra Logist,829.36,15.61,2.07,6.11,429.00,425.00,429.15,0.03,701.90,63.61
06-11-17,Nippon,1542,118.41,209.44,5.23,252.00,289.00,284.00,12.7,364.45,44.62
25-10-17,General Insuran,11372,2.25,0.22,0.63,912.00,870.40,435.20,-52.28,141.05,-84.53
23-10-17,IEX,1000.7,2.56,0.85,2.61,1650.00,1500.00,54.22,-96.71,256.05,-84.48
16-10-17,Godrej Agrovet,1157.31,150.96,236.04,7.67,460.00,615.00,595.55,29.47,529.90,15.20
05-10-17,Prataap Snacks ,481.94,76.89,101.15,7.62,938.00,1250.00,1178.30,25.62,786.50,-16.15
03-10-17,SBI Life Insura,8400,12.56,0.70,0.81,700.00,735.00,708.00,1.14,"1,158.30",65.47
27-09-17,ICICI Lombard ,5700.94,8.93,0.83,1.23,661.00,651.00,681.55,3.11,"1,444.25",118.49
25-09-17,Capacite Infra,400,131.32,638.05,17.57,250.00,360.00,342.40,36.96,165.25,-33.90
21-09-17,Matrimony.com,501.07,1.88,0.41,18.16,985.00,985.00,901.20,-8.51,917.40,-6.86
18-09-17,Bharat Road Net,600.65,1.33,1.63,5.16,205.00,205.00,208.15,1.54,27.45,-86.61
18-09-17,Dixon Technolog,599.28,134.66,345.62,9.46,1766.00,2725.00,578.56,-67.24,"5,187.00",193.71
04-09-17,Apex Frozen,152.25,1.91,7.82,8.53,175.00,202.00,209.85,19.91,301.00,72.00
11-08-17,Cochin Shipyard,1454,63.51,288.87,8.12,432.00,461.00,522.00,20.83,344.10,-20.35
10-08-17,SIS,362.25,5.64,1.65,18.67,815.00,875.00,378.35,-53.58,489.10,-39.99
25-07-17,Salasar Techno ,35.87,0.00,487.18,58.59,108.00,259.45,272.10,151.94,243.10,125.09
10-07-17,AU Small Financ,1912.51,78.77,143.51,3.52,358.00,544.00,541.20,51.17,"1,135.00",217.04
04-07-17,GTPL Hathway,484.8,1.48,2.48,0.99,170.00,170.00,171.65,0.97,269.00,58.24
30-06-17,CDSL,523.99,148.71,563.03,23.83,149.00,250.00,261.60,75.57,"1,534.00",929.53
29-06-17,Eris Life,1741.1,4.68,0.45,3.51,603.00,612.00,601.05,-0.32,735.65,22.00
27-06-17,Tejas Networks,326.69,2.16,0.48,3.10,257.00,257.70,263.30,2.45,446.15,73.60
06-06-17,IndiGrid InvIT ,2250,1.14,1.60,0.00,100.00,99.70,95.08,-4.92,145.00,45.00
29-05-17,PSP Projects,211.68,8.38,10.39,6.47,210.00,195.00,208.95,-0.5,477.00,127.14
19-05-17,HUDCO,1224,55.45,330.36,10.79,58.00,76.50,72.50,25,40.20,-30.69
09-05-17,S Chand and Co,325,44.27,204.65,6.07,670.00,675.85,675.85,0.87,115.00,-82.84
05-04-17,Shankara Buildi,232.96,51.62,90.68,15.35,460.00,545.00,632.80,37.57,509.85,10.84
31-03-17,CL Educate,238.95,3.65,0.21,1.63,500.00,398.00,208.95,-58.21,121.05,-75.79
21-03-17,Avenue Supermar,1870,144.61,277.74,7.30,299.00,604.00,640.75,114.3,"4,721.30",1479.03
17-03-17,Music Broadcast,488.53,39.78,109.13,9.85,333.00,413.00,59.70,-82.07,23.15,-93.05
03-02-17,BSE Limited,1243,48.64,159.03,6.48,806.00,1085.00,1069.20,32.66,"1,925.80",138.93
19-12-16,Laurus Labs,560.7,10.54,3.57,1.58,428.00,489.90,96.10,-77.55,505.80,18.18
09-12-16,Sheela Foam,178.5,14.51,3.35,0.44,730.00,860.00,1032.00,41.37,"3,299.75",352.02
08-11-16,Varun Beverages,1114,4.94,0.42,0.82,445.00,430.00,205.29,-53.87,893.85,100.87
07-11-16,PNB Housing Fin,3000,37.33,86.17,1.32,775.00,860.00,890.60,14.92,558.60,-27.92
19-10-16,Endurance Techn,1161,1.70,0.13,0.82,472.00,572.00,647.70,37.22,"1,737.25",268.06
04-10-16,HPL Electric & ,361,5.77,22.20,3.31,202.00,190.00,189.05,-6.41,61.50,-69.55
29-09-16,ICICI Prudentia,6057,11.83,28.55,1.42,334.00,329.00,297.65,-10.88,600.05,79.66
27-09-16,GNA Axles,130.41,17.18,217.47,11.84,207.00,252.00,233.45,12.78,726.55,250.99
23-09-16,L&T Technology,900,5.01,1.03,1.74,860.00,900.00,865.10,0.59,"5,328.55",519.60
31-08-16,RBL Bank,1100,85.08,198.06,5.70,225.00,274.40,299.30,33.02,193.65,-13.93
