"","title","year","genre","runtime","mpa_rating","imdb_rating","imdb_votes","imdb_gross","director","stars","description","crit_consensus","tomato_meter","tomato_review","tom_aud_score","tom_ratings","entity","id"
"1","Captain America",1944,"Action, Adventure, Sci-Fi",244,"Approved",5.5,844,0,"Elmer Clifton","Elmer Clifton,Dick Purcell,Lorna Gray,Lionel Atwill,Charles Trowbridge","Superhero Captain America battles the evil forces of the archvillain called The Scarab, who poisons his enemies and steals a secret device capable of destroying buildings by sound vibrations.","Find one of these old serials, friend. They're a tonic for the debilitating malady of Superhero Overload.",0,1,82,250,"MARVEL",1
"2","Howard the Duck",1986,"Action, Adventure, Comedy",110,"PG",4.7,44073,16300000,"Willard Huyck","Willard Huyck,Lea Thompson,Jeffrey Jones,Tim Robbins,Ed Gale","A sarcastic humanoid duck is pulled from his homeworld to Earth where he must stop an alien invasion with the help of a nerdy scientist and a struggling female rock singer.","While it has its moments, Howard the Duck suffers from an uneven tone and mediocre performances",13,78,38,50000,"MARVEL",2
"3","Blade",1998,"Action, Horror, Sci-Fi",120,"R",7.1,251243,70090000,"Stephen Norrington","Stephen Norrington,Wesley Snipes,Stephen Dorff,Kris Kristofferson,N'Bushe Wright","A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires.","Though some may find the plot a bit lacking, Blade's action is fierce, plentiful, and appropriately stylish for a comic book adaptation.",55,103,78,250000,"MARVEL",3
"4","X-Men",2000,"Action, Adventure, Sci-Fi",104,"PG-13",7.4,580354,157300000,"Bryan Singer","Bryan Singer,Patrick Stewart,Hugh Jackman,Ian McKellen,Famke Janssen","In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.","Faithful to the comics and filled with action, X-Men brings a crowded slate of classic Marvel characters to the screen with a talented ensemble cast and surprisingly sharp narrative focus.",82,174,83,250000,"MARVEL",4
"5","Blade II",2002,"Action, Fantasy, Horror",117,"R",6.7,203813,82350000,"Guillermo del Toro","Guillermo del Toro,Wesley Snipes,Kris Kristofferson,Ron Perlman,Leonor Varela","Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires.","Though Blade II offers more of what worked in the original, its plot and character development appear to have been left on the cutting room floor.",57,150,68,250000,"MARVEL",5
"6","Spider-Man",2002,"Action, Adventure, Sci-Fi",121,"PG-13",7.3,702986,403710000,"Sam Raimi","Sam Raimi,Tobey Maguire,Kirsten Dunst,Willem Dafoe,James Franco","When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.","Not only does Spider-Man provide a good dose of web-swinging fun, it also has a heart, thanks to the combined charms of director Sam Raimi and star Tobey Maguire.",90,244,67,250000,"MARVEL",6
"7","Daredevil",2003,"Action, Crime",103,"PG-13",5.3,208847,102540000,"Mark Steven Johnson","Mark Steven Johnson,Ben Affleck,Jennifer Garner,Colin Farrell,Michael Clarke Duncan","A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero.","While Ben Affleck fits the role and the story is sporadically interesting, Daredevil is ultimately a dull, brooding origin story that fails to bring anything new to the genre.",44,229,35,250000,"MARVEL",7
"8","X2: X-Men United",2003,"Action, Sci-Fi, Thriller",134,"PG-13",7.4,519747,214950000,"Bryan Singer","Bryan Singer,Patrick Stewart,Hugh Jackman,Halle Berry,Ian McKellen","When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.","Tightly scripted, solidly acted, and impressively ambitious, X2: X-Men United is bigger and better than its predecessor -- and a benchmark for comic sequels in general.",85,246,85,250000,"MARVEL",8
"9","Hulk",2003,"Action, Sci-Fi",138,"PG-13",5.6,255002,132180000,"Ang Lee","Ang Lee,Eric Bana,Jennifer Connelly,Sam Elliott,Josh Lucas","Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry.","While Ang Lee's ambitious film earns marks for style and an attempt at dramatic depth, there's ultimately too much talking and not enough smashing.",62,237,29,250000,"MARVEL",9
"10","The Punisher",2004,"Action, Crime, Drama",124,"R",6.4,151872,33680000,"Jonathan Hensleigh","Jonathan Hensleigh,Thomas Jane,John Travolta,Samantha Mathis,Laura Harring","An undercover FBI agent becomes a vigilante and sets out to unleash his wrath upon the corrupt businessman who slaughtered his entire family at a reunion.","A good cast fails to elevate this overly violent and by-the-numbers revenge flick.",28,172,63,250000,"MARVEL",10
"11","Spider-Man 2",2004,"Action, Adventure, Sci-Fi",127,"PG-13",7.3,556980,373590000,"Sam Raimi","Sam Raimi,Tobey Maguire,Kirsten Dunst,Alfred Molina,James Franco","Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.","Boasting an entertaining villain and deeper emotional focus, this is a nimble sequel that improves upon the original.",93,274,82,250000,"MARVEL",11
"12","Blade: Trinity",2004,"Action, Adventure, Fantasy",113,"R",5.8,168363,52410000,"David S. Goyer","David S. Goyer,Wesley Snipes,Kris Kristofferson,Parker Posey,Ryan Reynolds","Blade, now a wanted man by the FBI, must join forces with the Nightstalkers to face his most challenging enemy yet: Dracula.","Louder, campier, and more incoherent than its predecessors, Blade: Trinity seems content to emphasize style over substance and rehash familiar themes.",25,168,58,250000,"MARVEL",12
"13","Elektra",2005,"Action, Adventure, Crime",97,"PG-13",4.7,88518,24410000,"Rob Bowman","Rob Bowman,Jennifer Garner,Goran Visnjic,Will Yun Lee,Kirsten Zien","Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins.","Jennifer Garner inhabits her role with earnest gusto, but Elektra's tone deaf script is too self-serious and bereft of intelligent dialogue to provide engaging thrills.",11,166,29,250000,"MARVEL",13
"14","Fantastic Four",2005,"Action, Adventure, Fantasy",106,"PG-13",5.7,315297,154700000,"Tim Story","Tim Story,Ioan Gruffudd,Michael Chiklis,Chris Evans,Jessica Alba","A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.","Marred by goofy attempts at wit, subpar acting, and bland storytelling, Fantastic Four is a mediocre attempt to bring Marvel's oldest hero team to the big screen.",27,214,45,250000,"MARVEL",14
"15","X-Men: The Last Stand",2006,"Action, Adventure, Sci-Fi",104,"PG-13",6.7,490269,234360000,"Brett Ratner","Brett Ratner,Patrick Stewart,Hugh Jackman,Halle Berry,Famke Janssen","The human government develops a cure for mutations, and Jean Gray becomes a darker uncontrollable persona called the Phoenix who allies with Magneto, causing escalation into an all-out battle for the X-Men.","X-Men: The Last Stand provides plenty of mutant action for fans of the franchise, even if it does so at the expense of its predecessors' deeper character moments.",57,240,61,250000,"MARVEL",15
"16","Ghost Rider",2007,"Action, Fantasy, Thriller",110,"PG-13",5.3,226797,115800000,"Mark Steven Johnson","Mark Steven Johnson,Nicolas Cage,Eva Mendes,Sam Elliott,Matt Long","When motorcycle rider Johnny Blaze sells his soul to the Devil to save his father's life, he is transformed into the Ghost Rider, the Devil's own bounty hunter, and is sent to hunt down sinners.","Ghost Rider is a sour mix of morose, glum histrionics amidst jokey puns and hammy dialogue.",26,141,48,250000,"MARVEL",16
"17","Spider-Man 3",2007,"Action, Adventure, Sci-Fi",139,"PG-13",6.2,510723,336530000,"Sam Raimi","Sam Raimi,Tobey Maguire,Kirsten Dunst,Topher Grace,Thomas Haden Church","A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.","Though there are more characters and plotlines, and the action sequences still dazzle, Spider-Man 3 nonetheless isn't quite as refined as the first two.",63,262,51,250000,"MARVEL",17
"18","Fantastic Four: Rise of the Silver Surfer",2007,"Action, Adventure, Fantasy",92,"PG",5.6,253897,131920000,"Tim Story","Tim Story,Ioan Gruffudd,Jessica Alba,Chris Evans,Michael Chiklis","The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.","While an improvement on its predecessor, Fantastic Four: Rise of the Silver Surfer is nevertheless a juvenile, simplistic picture that has little benefit beyond its special effects.",37,171,51,250000,"MARVEL",18
"19","Iron Man",2008,"Action, Adventure, Sci-Fi",126,"PG-13",7.9,964114,318410000,"Jon Favreau","Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,Jeff Bridges","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","Powered by Robert Downey Jr.'s vibrant charm, Iron Man turbo-charges the superhero genre with a deft intelligence and infectious sense of fun.",94,281,91,250000,"MARVEL",19
"20","The Incredible Hulk",2008,"Action, Adventure, Sci-Fi",112,"PG-13",6.7,445822,134520000,"Louis Leterrier","Louis Leterrier,Edward Norton,Liv Tyler,Tim Roth,William Hurt","Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.","The Incredible Hulk may not be quite the smashing success that fans of Marvel's raging behemoth might hope for, but it offers more than enough big green action to make up for its occasionally puny narrative.",67,238,70,250000,"MARVEL",20
"21","Punisher: War Zone",2008,"Action, Crime, Drama",103,"R",5.9,60767,7950000,"Lexi Alexander","Lexi Alexander,Ray Stevenson,Dominic West,Julie Benz,Doug Hutchison","Frank Castle, known as the Punisher, ruthlessly demolishes organized crime, but it starts an even bigger war.","Punisher: War Zone recalls the excessively violent, dialogue-challenged actioners of the 1980s, and coincidentally feels two decades out of date.",29,111,42,100000,"MARVEL",21
"22","X-Men Origins: Wolverine",2009,"Action, Sci-Fi",107,"PG-13",6.6,475561,179880000,"Gavin Hood","Gavin Hood,Hugh Jackman,Liev Schreiber,Ryan Reynolds,Danny Huston","The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.","Though Hugh Jackman gives his all, he can't help X-Men Origins: Wolverine overcome a cliche-ridden script and familiar narrative.",37,263,58,250000,"MARVEL",22
"23","Iron Man 2",2010,"Action, Adventure, Sci-Fi",124,"PG-13",7,742416,312430000,"Jon Favreau","Jon Favreau,Robert Downey Jr.,Mickey Rourke,Gwyneth Paltrow,Don Cheadle","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.","It isn't quite the breath of fresh air that Iron Man was, but this sequel comes close with solid performances and an action-packed plot. ",72,304,71,250000,"MARVEL",23
"24","Thor",2011,"Action, Adventure, Fantasy",115,"PG-13",7,767687,181030000,"Kenneth Branagh","Kenneth Branagh,Chris Hemsworth,Anthony Hopkins,Natalie Portman,Tom Hiddleston","The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.","A dazzling blockbuster that tempers its sweeping scope with wit, humor, and human drama, Thor is mighty Marvel entertainment.",77,291,76,100000,"MARVEL",24
"25","X: First Class",2011,"Action, Adventure, Sci-Fi",131,"PG-13",7.7,655399,146410000,"Matthew Vaughn","Matthew Vaughn,James McAvoy,Michael Fassbender,Jennifer Lawrence,Kevin Bacon","In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.","With a strong script, stylish direction, and powerful performances from its well-rounded cast, X-Men: First Class is a welcome return to form for the franchise.",86,298,87,100000,"MARVEL",25
"26","Captain America: The First Avenger",2011,"Action, Adventure, Sci-Fi",124,"PG-13",6.9,764786,176650000,"Joe Johnston","Joe Johnston,Chris Evans,Hugo Weaving,Samuel L. Jackson,Hayley Atwell","Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.","With plenty of pulpy action, a pleasantly retro vibe, and a handful of fine performances, Captain America is solidly old-fashioned blockbuster entertainment.",80,273,74,100000,"MARVEL",26
"27","Ghost Rider: Spirit of Vengeance",2011,"Action, Fantasy, Thriller",96,"PG-13",4.3,112898,51770000,"Mark Neveldine","Brian Taylor,Nicolas Cage,Ciarán Hinds,Idris Elba,Violante Placido","Johnny Blaze, tortured by the Ghost Rider's curse, gets a chance of redemption through protecting the Devil's son, whose father is pursuing him.","With a weak script, uneven CG work, and a Nic Cage performance so predictably loony it's no longer amusing, Ghost Rider: Spirit of Vengeance aims to be trashy fun but ends up as plain trash.",18,114,31,100000,"MARVEL",27
"28","The Avengers",2012,"Action, Adventure, Sci-Fi",143,"PG-13",8,1286985,623280000,"Joss Whedon","Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner","Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.","Thanks to a script that emphasizes its heroes' humanity and a wealth of superpowered set pieces, The Avengers lives up to its hype and raises the bar for Marvel at the movies.",91,362,91,250000,"MARVEL",28
"29","The Amazing Spider-Man",2012,"Action, Adventure, Fantasy",136,"PG-13",6.9,569274,262030000,"Marc Webb","Marc Webb,Andrew Garfield,Emma Stone,Rhys Ifans,Irrfan Khan","After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.","A well-chosen cast and sure-handed direction allow The Amazing Spider-Man to thrill, despite revisiting many of the same plot points from 2002's Spider-Man.",72,334,77,250000,"MARVEL",29
"30","Iron Man Three",2013,"Action, Adventure, Sci-Fi",130,"PG-13",7.1,775425,409010000,"Shane Black","Shane Black,Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow,Don Cheadle","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","With the help of its charismatic lead, some impressive action sequences, and even a few surprises, Iron Man 3 is a witty, entertaining adventure and a strong addition to the Marvel canon.",79,328,78,250000,"MARVEL",30
"31","The Wolverine",2013,"Action, Sci-Fi",126,"PG-13",6.7,437712,132560000,"James Mangold","James Mangold,Hugh Jackman,Will Yun Lee,Tao Okamoto,Rila Fukushima","Wolverine comes to Japan to meet an old friend whose life he saved years ago, and gets embroiled in a conspiracy involving yakuza and mutants.","Although its final act succumbs to the usual cartoonish antics, The Wolverine is one superhero movie that manages to stay true to the comics while keeping casual viewers entertained.",71,258,69,250000,"MARVEL",31
"32","Thor: The Dark World",2013,"Action, Adventure, Fantasy",112,"PG-13",6.9,614115,206360000,"Alan Taylor","Alan Taylor,Chris Hemsworth,Natalie Portman,Tom Hiddleston,Stellan Skarsgård","When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.","It may not be the finest film to come from the Marvel Universe, but Thor: The Dark World still offers plenty of the humor and high-stakes action that fans have come to expect.",66,284,75,250000,"MARVEL",32
"33","Captain America: The Winter Soldier",2014,"Action, Adventure, Sci-Fi",136,"PG-13",7.7,759721,259770000,"Anthony Russo","Joe Russo,Chris Evans,Samuel L. Jackson,Scarlett Johansson,Robert Redford","As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.","Suspenseful and politically astute, Captain America: The Winter Soldier is a superior entry in the Avengers canon and is sure to thrill Marvel diehards.",90,306,92,250000,"MARVEL",33
"34","The Amazing Spider-Man 2",2014,"Action, Adventure, Fantasy",142,"PG-13",6.6,425691,202850000,"Marc Webb","Marc Webb,Andrew Garfield,Emma Stone,Jamie Foxx,Paul Giamatti","When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.","While the cast is outstanding and the special effects are top-notch, the latest installment of the Spidey saga suffers from an unfocused narrative and an overabundance of characters.",51,309,64,100000,"MARVEL",34
"35","X-Men: Days of Future Past",2014,"Action, Adventure, Sci-Fi",132,"PG-13",7.9,671146,233920000,"Bryan Singer","Bryan Singer,Patrick Stewart,Ian McKellen,Hugh Jackman,James McAvoy","The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.","X-Men: Days of Future Past combines the best elements of the series to produce a satisfyingly fast-paced outing that ranks among the franchise's finest installments. ",90,329,91,250000,"MARVEL",35
"36","Guardians of the Galaxy",2014,"Action, Adventure, Comedy",121,"PG-13",8,1069895,333180000,"James Gunn","James Gunn,Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana","A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.","Guardians of the Galaxy is just as irreverent as fans of the frequently zany Marvel comic would expect -- as well as funny, thrilling, full of heart, and packed with visual splendor.",92,332,92,250000,"MARVEL",36
"37","Avengers: Age of Ultron",2015,"Action, Adventure, Sci-Fi",141,"PG-13",7.3,772476,459010000,"Joss Whedon","Joss Whedon,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth","When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.","Exuberant and eye-popping, Avengers: Age of Ultron serves as an overstuffed but mostly satisfying sequel, reuniting its predecessor's unwieldy cast with a few new additions and a worthy foe.",76,372,83,250000,"MARVEL",37
"38","Ant-Man",2015,"Action, Adventure, Comedy",117,"PG-13",7.3,590834,180200000,"Peyton Reed","Peyton Reed,Paul Rudd,Michael Douglas,Corey Stoll,Evangeline Lilly","Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.","Led by a charming performance from Paul Rudd, Ant-Man offers Marvel thrills on an appropriately smaller scale -- albeit not as smoothly as its most successful predecessors.",83,334,86,100000,"MARVEL",38
"39","Fantastic Four",2015,"Action, Adventure, Sci-Fi",100,"PG-13",4.2,155942,56120000,"Josh Trank","Josh Trank,Miles Teller,Kate Mara,Michael B. Jordan,Jamie Bell","Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy.","Dull and downbeat, this Fantastic Four proves a woefully misguided attempt to translate a classic comic series without the humor, joy, or colorful thrills that made it great.",9,260,18,100000,"MARVEL",39
"40","Deadpool",2016,"Action, Adventure, Comedy",108,"R",8,927737,363070000,"Tim Miller","Tim Miller,Ryan Reynolds,Morena Baccarin,T.J. Miller,Ed Skrein","A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.","Fast, funny, and gleefully profane, the fourth-wall-busting Deadpool subverts superhero film formula with wildly entertaining -- and decidedly non-family-friendly -- results.",85,347,90,100000,"MARVEL",40
"41","Captain America: Civil War",2016,"Action, Adventure, Sci-Fi",147,"PG-13",7.8,689763,408080000,"Anthony Russo","Joe Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson,Sebastian Stan","Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.","Captain America: Civil War begins the next wave of Marvel movies with an action-packed superhero blockbuster boasting a decidedly non-cartoonish plot and the courage to explore thought-provoking themes.",90,421,89,100000,"MARVEL",41
"42","X-Men: Apocalypse",2016,"Action, Adventure, Sci-Fi",144,"PG-13",6.9,402935,155440000,"Bryan Singer","Bryan Singer,James McAvoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult","In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.","Overloaded action and a cliched villain take the focus away from otherwise strong performers and resonant themes, making X-Men: Apocalypse a middling chapter of the venerable superhero franchise.",47,343,65,100000,"MARVEL",42
"43","Doctor Strange",2016,"Action, Adventure, Fantasy",115,"PG-13",7.5,623361,232640000,"Scott Derrickson","Scott Derrickson,Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams,Benedict Wong","While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.","Doctor Strange artfully balances its outré source material against the blockbuster constraints of the MCU, delivering a thoroughly entertaining superhero origin story in the bargain.",89,382,85,100000,"MARVEL",43
"44","Logan",2017,"Action, Drama, Sci-Fi",137,"R",8.1,670710,226280000,"James Mangold","James Mangold,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions.",93,420,90,50000,"MARVEL",44
