"","title","year","genre","runtime","mpa_rating","imdb_rating","imdb_votes","imdb_gross","director","stars","description","crit_consensus","tomato_meter","tomato_review","tom_aud_score","tom_ratings","entity","id"
"45","Guardians of the Galaxy Vol. 2",2017,"Action, Adventure, Comedy",136,"PG-13",7.6,592260,389810000,"James Gunn","James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel","The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.","Guardians of the Galaxy Vol. 2's action-packed plot, dazzling visuals, and irreverent humor add up to a sequel that's almost as fun -- if not quite as thrillingly fresh -- as its predecessor.",85,421,87,100000,"MARVEL",45
"46","Spider-Man: Homecoming",2017,"Action, Adventure, Sci-Fi",133,"PG-13",7.4,536012,334200000,"Jon Watts","Jon Watts,Tom Holland,Michael Keaton,Robert Downey Jr.,Marisa Tomei","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.","Spider-Man: Homecoming does whatever a second reboot can, delivering a colorful, fun adventure that fits snugly in the sprawling MCU without getting bogged down in franchise-building.",92,393,87,100000,"MARVEL",46
"47","Thor: Ragnarok",2017,"Action, Adventure, Comedy",130,"PG-13",7.9,620623,315060000,"Taika Waititi","Taika Waititi,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Mark Ruffalo","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.","Exciting, funny, and above all fun, Thor: Ragnarok is a colorful cosmic adventure that sets a new standard for its franchise -- and the rest of the Marvel Cinematic Universe.",93,434,87,50000,"MARVEL",47
"48","Black Panther",2018,"Action, Adventure, Sci-Fi",134,"PG-13",7.3,655779,700060000,"Ryan Coogler","Ryan Coogler,Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Danai Gurira","T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.","Black Panther elevates superhero cinema to thrilling new heights while telling one of the MCU's most absorbing stories -- and introducing some of its most fully realized characters.",96,523,79,50000,"MARVEL",48
"49","Avengers: Infinity War",2018,"Action, Adventure, Sci-Fi",149,"PG-13",8.4,888104,678820000,"Anthony Russo","Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans","The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.","Avengers: Infinity War ably juggles a dizzying array of MCU heroes in the fight against their gravest threat yet, and the result is a thrilling, emotionally resonant blockbuster that (mostly) realizes its gargantuan ambitions.",85,480,91,50000,"MARVEL",49
"50","Deadpool 2",2018,"Action, Adventure, Comedy",119,"R",7.7,501971,324590000,"David Leitch","David Leitch,Ryan Reynolds,Josh Brolin,Morena Baccarin,Julian Dennison","Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.","Though it threatens to buckle under the weight of its meta gags, Deadpool 2 is a gory, gleeful lampoon of the superhero genre buoyed by Ryan Reynolds' undeniable charm.",84,419,85,25000,"MARVEL",50
"51","Ant-Man and the Wasp",2018,"Action, Adventure, Comedy",118,"PG-13",7,329600,216650000,"Peyton Reed","Peyton Reed,Paul Rudd,Evangeline Lilly,Michael Peña,Walton Goggins","As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.","A lighter, brighter superhero movie powered by the effortless charisma of Paul Rudd and Evangeline Lilly, Ant-Man and The Wasp offers a much-needed MCU palate cleanser.",87,435,75,25000,"MARVEL",51
"52","Venom",2018,"Action, Adventure, Sci-Fi",112,"PG-13",6.7,383743,213520000,"Ruben Fleischer","Ruben Fleischer,Tom Hardy,Michelle Williams,Riz Ahmed,Scott Haze","A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.","Venom's first standalone movie turns out to be like the comics character in all the wrong ways - chaotic, noisy, and in desperate need of a stronger attachment to Spider-Man.",29,354,81,25000,"MARVEL",52
"53","Captain Marvel",2019,"Action, Adventure, Sci-Fi",123,"PG-13",6.8,473437,426830000,"Anna Boden","Anna Boden,Brie Larson,Samuel L. Jackson,Ben Mendelsohn,Jude Law","Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.","Packed with action, humor, and visual thrills, Captain Marvel introduces the MCU's latest hero with an origin story that makes effective use of the franchise's signature formula.",79,537,45,100000,"MARVEL",53
"54","Avengers: Endgame",2019,"Action, Adventure, Drama",181,"PG-13",8.4,890937,858370000,"Anthony Russo","Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Exciting, entertaining, and emotionally impactful, Avengers: Endgame does whatever it takes to deliver a satisfying finale to Marvel's epic Infinity Saga.",94,541,90,50000,"MARVEL",54
"55","X-Men: Dark Phoenix",2019,"Action, Adventure, Sci-Fi",113,"PG-13",5.7,164427,65850000,"Simon Kinberg","Simon Kinberg,James McAvoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult","Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to decide if her life is worth more than all of humanity.","Dark Phoenix ends an era of the X-Men franchise by taking a second stab at adapting a classic comics arc -- with deeply disappointing results.",22,379,64,10000,"MARVEL",55
"56","Spider-Man: Far from Home",2019,"Action, Adventure, Sci-Fi",129,"PG-13",7.5,353385,390530000,"Jon Watts","Jon Watts,Tom Holland,Samuel L. Jackson,Jake Gyllenhaal,Marisa Tomei","Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.","A breezily unpredictable blend of teen romance and superhero action, Spider-Man: Far from Home stylishly sets the stage for the next era of the MCU.",90,449,95,50000,"MARVEL",56
"57","The New Mutants",2020,"Action, Horror, Mystery",94,"PG-13",5.3,59535,0,"Josh Boone","Josh Boone,Maisie Williams,Anya Taylor-Joy,Charlie Heaton,Alice Braga","Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.","Rendering a list of potentially explosive ingredients mostly inert, The New Mutants is a franchise spinoff that's less than the sum of its super-powered parts.",35,126,56,2500,"MARVEL",57
"58","Superman and the Mole-Men",1951,"Action, Adventure, Drama",58,"Passed",5.7,1828,0,"Lee Sholem","George Reeves,Phyllis Coates,Jeff Corey,Walter Reed","When underground beings explore the surface world from a deep oil well and inadvertantly cause a panic, only Superman can prevent a tragedy.","Even at under an hour, this children's fantasy is sluggishly paced by today's standards...but it does have its charms and a relevant social message at its core.",0,2,83,250,"DC",58
"59","Batman: The Movie",1966,"Adventure, Comedy, Crime",105,"PG",6.5,30289,0,"Leslie H. Martinson","Adam West,Burt Ward,Lee Meriwether,Cesar Romero","The Dynamic Duo faces four supervillains who plan to hold the world for ransom with the help of a secret invention that instantly dehydrates people.","Batman: The Movie elevates camp to an art form -- and has a blast doing it, every gloriously tongue-in-cheek inch of the way.",79,33,62,100000,"DC",59
"60","Superman",1978,"Action, Adventure, Drama",143,"PG",7.3,162395,134220000,"Richard Donner","Christopher Reeve,Margot Kidder,Gene Hackman,Marlon Brando","An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero.","Superman deftly blends humor and gravitas, taking advantage of the perfectly cast Christopher Reeve to craft a loving, nostalgic tribute to an American pop culture icon.",94,68,86,250000,"DC",60
"61","Superman II",1980,"Action, Adventure, Sci-Fi",127,"PG",6.8,100030,108190000,"Richard Lester","Gene Hackman,Christopher Reeve,Margot Kidder,Ned Beatty","Superman agrees to sacrifice his powers to start a relationship with Lois Lane, unaware that three Kryptonian criminals he inadvertently released are conquering Earth.","The humor occasionally stumbles into slapstick territory, and the special effects are dated, but Superman II meets, if not exceeds, the standard set by its predecessor.",86,51,76,100000,"DC",61
"62","Swamp Thing",1982,"Horror, Sci-Fi",91,"PG",5.4,13328,0,"Wes Craven","Louis Jourdan,Adrienne Barbeau,Ray Wise,David Hess","After a violent incident with a special chemical, a research scientist is turned into a swamp plant monster.","Unabashedly campy -- often to its detriment -- Swamp Thing is not without its charms, among them Adrienne Barbeau as the damsel in distress.",63,38,40,10000,"DC",62
"63","Superman III",1983,"Action, Adventure, Comedy",125,"PG",5,65340,59950000,"Richard Lester","Christopher Reeve,Richard Pryor,Margot Kidder,Jackie Cooper","Synthetic kryptonite laced with tar splits Superman in two: good Clark Kent and bad Man of Steel.","When not overusing sight gags, slapstick, and Richard Pryor, Superman III resorts to plot points rehashed from the previous Superman flicks.",30,53,23,100000,"DC",63
"64","Supergirl",1984,"Action, Adventure, Fantasy",124,"PG",4.4,19361,13600000,"Jeannot Szwarc","Helen Slater,Faye Dunaway,Peter O'Toole,Mia Farrow","After losing a powerful orb, Kara Zor-El, Superman's cousin, comes to Earth to retrieve it and instead finds herself up against a wicked witch.","The effects are cheesy and Supergirl's wide-eyed, cheery heroine simply isn't interesting to watch for an hour and a half.",9,32,26,25000,"DC",64
"65","Superman IV: The Quest for Peace",1987,"Action, Adventure, Sci-Fi",90,"PG",3.7,44082,15680000,"Sidney J. Furie","Christopher Reeve,Gene Hackman,Margot Kidder,Jackie Cooper","The Man of Steel crusades for nuclear disarmament and meets Lex Luthor's latest creation, Nuclear Man.","The Superman series bottoms out here: the action is boring, the special effects look cheaper, and none of the actors appear interested in where the plot's going.",11,45,16,50000,"DC",65
"66","The Return of Swamp Thing",1989,"Action, Adventure, Comedy",88,"PG-13",4.6,4454,190000,"Jim Wynorski","Dick Durock,Heather Locklear,Louis Jourdan,Sarah Douglas","In this tongue-in-cheek sequel, the benevolent bog creature falls for the vegetarian, plant-loving daughter of the evil scientist who created him.","A mad scientist's (Louis Jourdan) vegetarian stepdaughter (Heather Locklear) falls in love with one of his leafy failures.",44,9,55,2500,"DC",66
"67","Batman",1989,"Action, Adventure",126,"PG-13",7.5,344868,251190000,"Tim Burton","Michael Keaton,Jack Nicholson,Kim Basinger,Robert Wuhl","The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.","An eerie, haunting spectacle, Batman succeeds as dark entertainment, even if Jack Nicholson's Joker too often overshadows the title character.",71,76,84,250000,"DC",67
"68","Batman Returns",1992,"Action, Crime, Fantasy",126,"PG-13",7,279545,162830000,"Tim Burton","Michael Keaton,Danny DeVito,Michelle Pfeiffer,Christopher Walken","While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.","Director Tim Burton's dark, brooding atmosphere, Michael Keaton's work as the tormented hero, and the flawless casting of Danny DeVito as The Penguin and Christopher Walken as, well, Christopher Walken make the sequel better than the first.",80,84,73,250000,"DC",68
"69","Batman Forever",1995,"Action, Adventure",121,"PG-13",5.4,238230,184030000,"Joel Schumacher","Val Kilmer,Tommy Lee Jones,Jim Carrey,Nicole Kidman","Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.","Loud, excessively busy, and often boring, Batman Forever nonetheless has the charisma of Jim Carrey and Tommy Lee Jones to offer mild relief.",38,68,32,250000,"DC",69
"70","Batman & Robin",1997,"Action, Sci-Fi",125,"PG-13",3.8,237759,107330000,"Joel Schumacher","Arnold Schwarzenegger,George Clooney,Chris O'Donnell,Uma Thurman","Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.","Joel Schumacher's tongue-in-cheek attitude hits an unbearable limit in Batman & Robin resulting in a frantic and mindless movie that's too jokey to care much for.",12,93,16,250000,"DC",70
"71","Steel",1997,"Action, Adventure, Crime",97,"PG-13",2.9,11519,1710000,"Kenneth Johnson","Shaquille O'Neal,Annabeth Gish,Judd Nelson,Richard Roundtree","A scientist for the military turns himself into a cartoon-like superhero when a version of one of his own weapons is being used against enemies.","Steel is a badly-acted movie that indulges not only in superhero cliches, but also the sappy TV-movie-of-the-week ones.",12,26,15,5000,"DC",71
"72","Catwoman",2004,"Action, Crime, Fantasy",104,"PG-13",3.4,112972,40200000,"Pitof","Halle Berry,Sharon Stone,Benjamin Bratt,Lambert Wilson","A shy woman, endowed with the speed, reflexes, and senses of a cat, walks a thin line between criminal and hero, even as a detective doggedly pursues her, fascinated by both of her personas.","Halle Berry is the lone bright spot, but even she can't save this laughable action thriller.",9,198,18,250000,"DC",72
"73","Constantine",2005,"Action, Fantasy, Horror",121,"R",7,315617,75980000,"Francis Lawrence","Keanu Reeves,Rachel Weisz,Djimon Hounsou,Shia LaBeouf","Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more.","Despite solid production values and an intriguing premise, Constantine lacks the focus of another spiritual shoot-em-up: The Matrix.",46,230,72,250000,"DC",73
"74","Batman Begins",2005,"Action, Adventure",140,"PG-13",8.2,1338140,206850000,"Christopher Nolan","Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.","Brooding and dark, but also exciting and smart, Batman Begins is a film that understands the essence of one of the definitive superheroes.",84,288,94,250000,"DC",74
"75","Superman Returns",2006,"Action, Sci-Fi",154,"PG-13",6,273696,200080000,"Bryan Singer","Brandon Routh,Kevin Spacey,Kate Bosworth,James Marsden","Superman returns to Earth after spending five years in space examining his homeworld Krypton. But he finds things have changed while he was gone, and he must once again prove himself important to the world.","Bryan Singer's reverent and visually decadent adaptation gives the Man of Steel welcome emotional complexity. The result: a satisfying stick-to-your-ribs adaptation.",75,267,61,250000,"DC",75
"76","The Dark Knight",2008,"Action, Crime, Drama",152,"PG-13",9,2369304,534860000,"Christopher Nolan","Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Dark, complex, and unforgettable, The Dark Knight succeeds not just as an entertaining comic book film, but as a richly thrilling crime saga.",94,344,94,250000,"DC",76
"77","Watchmen",2009,"Action, Drama, Mystery",162,"R",7.6,518415,107510000,"Zack Snyder","Jackie Earle Haley,Patrick Wilson,Carla Gugino,Malin Akerman","In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.","Gritty and visually striking, Watchmen is a faithful adaptation of Alan Moore's graphic novel, but its complex narrative structure may make it difficult for it to appeal to viewers not already familiar with the source material.",65,312,71,250000,"DC",77
"78","Jonah Hex",2010,"Action, Drama, Fantasy",81,"PG-13",4.7,56225,10540000,"Jimmy Hayward","Josh Brolin,Megan Fox,John Malkovich,Michael Fassbender","The U.S. military makes a scarred bounty hunter with warrants on his own head an offer he cannot refuse: in exchange for his freedom, he must stop a terrorist who is ready to unleash Hell on Earth.","Josh Brolin gives it his best shot, but he can't keep the short, unfocused Jonah Hex from collapsing on the screen.",12,153,20,100000,"DC",78
"79","Green Lantern",2011,"Action, Adventure, Sci-Fi",114,"PG-13",5.5,270939,116600000,"Martin Campbell","Ryan Reynolds,Blake Lively,Peter Sarsgaard,Mark Strong","Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.","Noisy, overproduced, and thinly written, Green Lantern squanders an impressive budget and decades of comics mythology.",26,246,45,100000,"DC",79
"80","The Dark Knight Rises",2012,"Action, Adventure",164,"PG-13",8.4,1552223,448140000,"Christopher Nolan","Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.","The Dark Knight Rises is an ambitious, thoughtful, and potent action film that concludes Christopher Nolan's franchise in spectacular fashion.",87,371,90,250000,"DC",80
"81","Man of Steel",2013,"Action, Adventure, Sci-Fi",143,"PG-13",7,718956,291050000,"Zack Snyder","Henry Cavill,Amy Adams,Michael Shannon,Diane Lane","An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened, when other survivors of his home planet invade Earth.","Man of Steel's exhilarating action and spectacle can't fully overcome its detours into generic blockbuster territory.",56,338,75,250000,"DC",81
"82","Batman v Superman: Dawn of Justice",2016,"Action, Adventure, Sci-Fi",152,"PG-13",6.4,653270,330360000,"Zack Snyder","Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg","Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.","Batman v Superman: Dawn of Justice smothers a potentially powerful story -- and some of America's most iconic superheroes -- in a grim whirlwind of effects-driven action.",28,432,63,100000,"DC",82
"83","Suicide Squad",2016,"Action, Adventure, Fantasy",123,"PG-13",5.9,622206,325100000,"David Ayer","Will Smith,Jared Leto,Margot Robbie,Viola Davis","A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.","Suicide Squad boasts a talented cast and a little more humor than previous DCEU efforts, but they aren't enough to save the disappointing end result from a muddled plot, thinly written characters, and choppy directing.",26,386,59,100000,"DC",83
"84","Wonder Woman",2017,"Action, Adventure, Fantasy",141,"PG-13",7.4,596901,412560000,"Patty Jenkins","Gal Gadot,Chris Pine,Robin Wright,Lucy Davis","When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.","Thrilling, earnest, and buoyed by Gal Gadot's charismatic performance, Wonder Woman succeeds in spectacular fashion.",93,466,83,100000,"DC",84
"85","Justice League",2017,"Action, Adventure, Fantasy",120,"PG-13",6.1,416837,229020000,"Zack Snyder","Ben Affleck,Gal Gadot,Jason Momoa,Ezra Miller","Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy.","Justice League leaps over a number of DC movies, but its single bound isn't enough to shed the murky aesthetic, thin characters, and chaotic action that continue to dog the franchise.",40,402,69,100000,"DC",85
"86","Aquaman",2018,"Action, Adventure, Fantasy",143,"PG-13",6.9,400424,335060000,"James Wan","Jason Momoa,Amber Heard,Willem Dafoe,Patrick Wilson","Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.","Aquaman swims with its entertainingly ludicrous tide, offering up CGI superhero spectacle that delivers energetic action with an emphasis on good old-fashioned fun.",65,406,74,25000,"DC",86
"87","Shazam!",2019,"Action, Adventure, Comedy",132,"PG-13",7,279604,140370000,"David F. Sandberg","Zachary Levi,Mark Strong,Asher Angel,Jack Dylan Grazer","A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.","An effortlessly entertaining blend of humor and heart, Shazam! is a superhero movie that never forgets the genre's real power: joyous wish fulfillment.",90,409,82,10000,"DC",87
"88","Joker",2019,"Crime, Drama, Thriller",122,"R",8.4,1014748,335450000,"Todd Phillips","Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.","Joker gives its infamous central character a chillingly plausible origin story that serves as a brilliant showcase for its star -- and a dark evolution for comics-inspired cinema.",68,585,88,50000,"DC",88
"89","Birds of Prey",2020,"Action, Adventure, Comedy",109,"R",6.1,186805,84160000,"Cathy Yan","Margot Robbie,Rosie Perez,Mary Elizabeth Winstead,Jurnee Smollett","After splitting with the Joker, Harley Quinn joins superheroes Black Canary, Huntress and Renee Montoya to save a young girl from an evil crime lord.","With a fresh perspective, some new friends, and loads of fast-paced action, Birds of Prey captures the colorfully anarchic spirit of Margot Robbie's Harley Quinn.",79,430,78,10000,"DC",89
"90","Wonder Woman 1984",2020,"Action, Adventure, Fantasy",151,"PG-13",5.4,212554,46370000,"Patty Jenkins","Gal Gadot,Chris Pine,Kristen Wiig,Pedro Pascal","Diana must contend with a work colleague and businessman, whose desire for extreme wealth sends the world down a path of destruction, after an ancient artifact that grants wishes goes missing.","Wonder Woman 1984 struggles with sequel overload, but still offers enough vibrant escapism to satisfy fans of the franchise and its classic central character.",59,431,73,2500,"DC",90
